Interface              IP-Address      OK? Method Status                Protocol
TenGigabitEthernet1/24 unassigned      YES unset  down                  down
TenGigabitEthernet1/25 unassigned      YES unset  down                  down
TenGigabitEthernet1/26 unassigned      YES unset  down                  down
TenGigabitEthernet1/27 unassigned      YES unset  down                  down
TenGigabitEthernet1/28 unassigned      YES unset  down                  down
TenGigabitEthernet1/29 unassigned      YES unset  down                  down
TenGigabitEthernet1/30 unassigned      YES unset  down                  down
TenGigabitEthernet1/31 unassigned      YES unset  up                    up
TenGigabitEthernet1/32 unassigned      YES unset  up                    up
Loopback0              100.125.191.36  YES NVRAM  up                    up
Loopback40             100.123.66.57   YES manual up                    up
Port-channel1          unassigned      YES unset  up                    up
Port-channel2          unassigned      YES unset  up                    up
Port-channel10         unassigned      YES unset  up                    up
Tunnel0                100.125.172.181 YES unset  up                    up
Tunnel1                100.125.172.166 YES unset  up                    up
Tunnel2                100.125.172.181 YES unset  up                    up
Vlan1                  unassigned      YES unset  up                    up
Vlan10                 100.125.172.2   YES NVRAM  up                    up
Vlan32                 100.125.172.34  YES NVRAM  up                    up
Vlan40                 100.123.66.2    YES manual up                    up
Vlan64                 100.125.172.66  YES NVRAM  up                    up
